index,uuid,driver_version,name,gpu_serial,display_active,display_mode
0,GPU-9972b025-618c-bc98-61a5-ebdc029fe774,545.23.06,Tesla T4,1325021037036,Disabled,Enabled
1,GPU-98668f0a-5c23-5580-397b-5c565d825ce3,545.23.06,Tesla T4,1325021052197,Disabled,Enabled
2,GPU-4d217064-d9ea-60eb-bc29-683680dc74b0,545.23.06,Tesla T4,1325021037537,Disabled,Enabled
3,GPU-588476ef-fb04-8e0e-5b6c-7bb976db90cc,545.23.06,Tesla T4,1325021051866,Disabled,Enabled

pid,process_name,gpu_uuid,gpu_name,used_memory

index,utilization_gpu,memory_total,memory_used,memory_free,timestamp
0,0,15360,5,14924,2023/11/10 11:18:57.071
1,0,15360,5,14924,2023/11/10 11:18:57.075
2,0,15360,5,14924,2023/11/10 11:18:57.079
3,0,15360,5,14924,2023/11/10 11:18:57.083
0,0,15360,2135,12794,2023/11/10 11:19:27.201
1,0,15360,2135,12794,2023/11/10 11:19:27.203
2,0,15360,2135,12794,2023/11/10 11:19:27.205
3,0,15360,2135,12794,2023/11/10 11:19:27.207
0,99,15360,12253,2676,2023/11/10 11:19:57.301
1,99,15360,11519,3410,2023/11/10 11:19:57.305
2,99,15360,12263,2666,2023/11/10 11:19:57.309
3,100,15360,12263,2666,2023/11/10 11:19:57.313
0,99,15360,12987,1942,2023/11/10 11:20:27.442
1,100,15360,12987,1942,2023/11/10 11:20:27.445
2,99,15360,12997,1932,2023/11/10 11:20:27.447
3,99,15360,12997,1932,2023/11/10 11:20:27.451
0,100,15360,12987,1942,2023/11/10 11:20:57.584
1,100,15360,12987,1942,2023/11/10 11:20:57.587
2,99,15360,12997,1932,2023/11/10 11:20:57.589
3,62,15360,12997,1932,2023/11/10 11:20:57.592
0,35,15360,12987,1942,2023/11/10 11:21:27.675
1,37,15360,12987,1942,2023/11/10 11:21:27.677
2,24,15360,12997,1932,2023/11/10 11:21:27.678
3,2,15360,12997,1932,2023/11/10 11:21:27.680
0,100,15360,12987,1942,2023/11/10 11:21:57.786
1,100,15360,12987,1942,2023/11/10 11:21:57.788
2,100,15360,12997,1932,2023/11/10 11:21:57.790
3,100,15360,12997,1932,2023/11/10 11:21:57.793
0,100,15360,12987,1942,2023/11/10 11:22:27.906
1,100,15360,12987,1942,2023/11/10 11:22:27.908
2,100,15360,12997,1932,2023/11/10 11:22:27.910
3,65,15360,12997,1932,2023/11/10 11:22:27.911
0,0,15360,12987,1942,2023/11/10 11:22:58.019
1,100,15360,12987,1942,2023/11/10 11:22:58.021
2,100,15360,12997,1932,2023/11/10 11:22:58.023
3,100,15360,12997,1932,2023/11/10 11:22:58.024
0,100,15360,12987,1942,2023/11/10 11:23:28.134
1,100,15360,12987,1942,2023/11/10 11:23:28.137
2,100,15360,12997,1932,2023/11/10 11:23:28.139
3,100,15360,12997,1932,2023/11/10 11:23:28.141
0,99,15360,12987,1942,2023/11/10 11:23:58.256
1,100,15360,12987,1942,2023/11/10 11:23:58.258
2,99,15360,12997,1932,2023/11/10 11:23:58.262
3,99,15360,12997,1932,2023/11/10 11:23:58.265
0,0,15360,12987,1942,2023/11/10 11:24:28.400
1,0,15360,12987,1942,2023/11/10 11:24:28.402
2,0,15360,12997,1932,2023/11/10 11:24:28.406
3,23,15360,13731,1198,2023/11/10 11:24:28.409
0,4,15360,12987,1942,2023/11/10 11:24:58.543
1,84,15360,12987,1942,2023/11/10 11:24:58.544
2,88,15360,12997,1932,2023/11/10 11:24:58.546
3,52,15360,13731,1198,2023/11/10 11:24:58.547
0,100,15360,12987,1942,2023/11/10 11:25:28.654
1,100,15360,12987,1942,2023/11/10 11:25:28.656
2,100,15360,12997,1932,2023/11/10 11:25:28.658
3,100,15360,13731,1198,2023/11/10 11:25:28.660
0,100,15360,12987,1942,2023/11/10 11:25:58.772
1,98,15360,12987,1942,2023/11/10 11:25:58.781
2,98,15360,12997,1932,2023/11/10 11:25:58.787
3,99,15360,13731,1198,2023/11/10 11:25:58.792
0,0,15360,12987,1942,2023/11/10 11:26:28.911
1,76,15360,12987,1942,2023/11/10 11:26:28.912
2,0,15360,12997,1932,2023/11/10 11:26:28.914
3,44,15360,13731,1198,2023/11/10 11:26:28.915
0,100,15360,12987,1942,2023/11/10 11:26:59.005
1,100,15360,12987,1942,2023/11/10 11:26:59.007
2,100,15360,12997,1932,2023/11/10 11:26:59.009
3,100,15360,13731,1198,2023/11/10 11:26:59.011
0,99,15360,12987,1942,2023/11/10 11:27:29.123
1,99,15360,12987,1942,2023/11/10 11:27:29.125
2,99,15360,12997,1932,2023/11/10 11:27:29.128
